,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mar del Plata,-38.0023,-57.5575,47.37,73,0,7.76,AR,1632266546
1,Woodward,36.4337,-99.3904,74.97,30,1,13.8,US,1632266547
2,Thompson,55.7435,-97.8558,48.36,61,40,2.3,CA,1632266547
3,Souillac,-20.5167,57.5167,70.18,64,75,11.5,MU,1632266248
4,Kirakira,-10.4544,161.9205,83.7,72,48,5.48,SB,1632266548
5,Haines Junction,60.7522,-137.5108,37.35,81,100,10.36,CA,1632266548
6,Aklavik,68.2191,-135.0107,39.92,74,100,12.48,CA,1632266549
7,Jamestown,42.097,-79.2353,69.39,84,90,1.99,US,1632266532
8,Barrow,71.2906,-156.7887,33.82,60,90,17.27,US,1632266255
9,Kot Addu,30.4692,70.9671,78.66,55,75,7.25,PK,1632266550
10,Conde,-7.2597,-34.9075,76.46,88,0,5.75,BR,1632266400
11,Torbay,47.6666,-52.7314,57.27,76,20,21.85,CA,1632266340
12,Hobart,-42.8794,147.3294,63.27,56,0,4.0,AU,1632266467
13,Minna,9.6139,6.5569,73.11,96,100,6.17,NG,1632266551
14,Ushuaia,-54.8,-68.3,46.06,81,75,0.0,AR,1632266495
15,Araouane,18.9048,-3.5265,97.65,13,42,7.52,ML,1632266552
16,Faanui,-16.4833,-151.75,78.57,72,7,7.02,PF,1632266303
17,George Town,5.4112,100.3354,77.9,85,40,2.3,MY,1632266504
18,Constitución,-35.3333,-72.4167,53.51,80,55,9.1,CL,1632266553
19,Rikitea,-23.1203,-134.9692,74.07,71,1,13.69,PF,1632266365
20,Barra de Tecoanapa,16.5167,-98.75,84.09,72,44,8.23,MX,1632266477
21,Balkanabat,39.5108,54.3671,75.42,17,0,7.9,TM,1632266554
22,Masindi,1.6744,31.715,65.05,97,100,1.74,UG,1632266554
23,Fortuna,40.5982,-124.1573,92.19,20,20,8.05,US,1632266555
24,Upernavik,72.7868,-56.1549,20.66,53,36,5.48,GL,1632266555
25,Punta Arenas,-53.15,-70.9167,48.18,80,100,7.67,CL,1632266545
26,Kabare,-2.4683,28.8242,64.06,72,66,0.56,CD,1632266556
27,Dongsheng,39.8161,109.9776,60.31,32,3,8.52,CN,1632266556
28,Bambous Virieux,-20.3428,57.7575,70.05,64,75,11.5,MU,1632266502
29,Hilo,19.7297,-155.09,83.28,73,90,8.05,US,1632266557
30,Kavieng,-2.5744,150.7967,82.94,75,99,11.7,PG,1632266306
31,Albany,42.6001,-73.9662,67.62,79,95,4.23,US,1632266558
32,Saint-Paul,-21.0096,55.2707,66.31,72,3,1.99,RE,1632266558
33,Busselton,-33.65,115.3333,56.75,71,0,3.2,AU,1632266460
34,Magistral'nyy,56.1725,107.4458,33.8,91,8,2.51,RU,1632266559
35,Itarema,-2.9248,-39.9167,78.19,81,15,16.28,BR,1632266368
36,Dingle,10.9995,122.6711,77.65,89,92,3.44,PH,1632266559
37,Chui,-33.6971,-53.4616,50.94,84,6,7.07,UY,1632266560
38,Bengkulu,-3.8004,102.2655,75.36,89,100,5.19,ID,1632266375
39,Atbasar,51.8,68.3333,33.82,75,19,4.07,KZ,1632266560
40,Viçosa do Ceará,-3.5622,-41.0922,71.11,66,10,6.44,BR,1632266561
41,Airai,-8.9266,125.4092,65.64,67,81,4.61,TL,1632266484
42,Yar-Sale,66.8333,70.8333,33.39,88,96,9.48,RU,1632266562
43,Dhidhdhoo,6.8833,73.1,82.24,77,23,15.66,MV,1632266562
44,Mahébourg,-20.4081,57.7,70.09,64,75,11.5,MU,1632266563
45,Butaritari,3.0707,172.7902,82.9,68,83,12.73,KI,1632266375
46,Leningradskiy,69.3833,178.4167,26.8,83,99,11.83,RU,1632266268
47,Avarua,-21.2078,-159.775,78.85,61,75,5.75,CK,1632266563
48,Hualmay,-11.0964,-77.6139,63.32,81,33,9.91,PE,1632266564
49,Beroroha,-21.6667,45.1667,72.0,40,52,5.97,MG,1632266564
50,Sechura,-5.5569,-80.8222,68.41,71,38,18.81,PE,1632266565
51,Atuona,-9.8,-139.0333,77.95,70,12,21.63,PF,1632266470
52,Lüderitz,-26.6481,15.1594,70.43,35,10,6.91,NA,1632266500
53,Castro,-24.7911,-50.0119,64.54,92,87,9.51,BR,1632266376
54,Hermanus,-34.4187,19.2345,52.9,84,8,11.54,ZA,1632266566
55,Henties Bay,-22.116,14.2845,55.42,82,22,3.11,NA,1632266566
56,Port Elizabeth,-33.918,25.5701,52.11,93,24,3.44,ZA,1632266567
57,Porto Walter,-8.2686,-72.7439,77.92,76,96,5.06,BR,1632266567
58,Kapaa,22.0752,-159.319,84.18,69,1,3.0,US,1632266567
59,Clyde River,70.4692,-68.5914,30.43,93,90,3.44,CA,1632266568
60,Norman Wells,65.282,-126.8329,46.44,66,75,11.5,CA,1632266568
61,Pevek,69.7008,170.3133,26.49,82,85,10.11,RU,1632266569
62,Tarauacá,-8.1614,-70.7656,80.69,68,70,1.7,BR,1632266569
63,Severo-Kuril'sk,50.6789,156.125,51.17,76,37,11.1,RU,1632266365
64,Aksu,41.1231,80.2644,68.25,26,0,4.34,CN,1632266570
65,Kaitangata,-46.2817,169.8464,52.54,57,14,5.88,NZ,1632266480
66,Puerto Ayora,-0.7393,-90.3518,69.55,90,74,7.0,EC,1632266381
67,Barcelos,41.5388,-8.6151,70.68,57,1,4.94,PT,1632266571
68,Belmonte,-15.8631,-38.8828,75.7,84,83,12.24,BR,1632266484
69,Musoma,-1.5,33.8,69.62,74,100,7.9,TZ,1632266571
70,Pathein,16.7833,94.7333,77.02,87,100,3.74,MM,1632266572
71,Khasan,42.4308,130.6434,64.45,94,58,6.26,RU,1632266572
72,Bluff,-46.6,168.3333,52.81,62,52,21.09,NZ,1632266573
73,St. George's,12.0564,-61.7485,83.88,79,20,17.27,GD,1632266574
74,Lagoa,39.05,-27.9833,70.05,75,0,17.0,PT,1632266472
